,pclass,age,sex
0,3,29.0,0
1,1,65.0,1
2,2,59.0,1
3,1,46.0,1
4,3,29.0,1
5,3,29.0,0
6,3,29.0,0
7,3,29.0,0
8,3,29.0,1
9,1,49.0,1
10,3,24.0,1
11,2,29.0,0
12,1,42.0,1
13,2,29.0,1
14,2,29.0,0
15,1,45.0,0
16,2,28.0,1
17,1,29.0,1
18,3,29.0,0
19,1,70.0,1
20,1,31.0,1
21,3,32.0,0
22,3,29.0,1
23,2,25.0,1
24,3,29.0,1
25,1,48.0,1
26,3,29.0,1
27,1,21.0,0
28,1,29.0,1
29,1,49.0,1
30,1,29.0,0
31,2,20.0,1
32,2,50.0,1
33,1,32.0,1
34,2,21.0,0
35,1,23.0,1
36,3,29.0,1
37,1,31.0,1
38,3,28.0,1
39,3,29.0,1
40,1,48.0,0
41,1,46.0,1
42,2,2.0,1
43,3,20.0,1
44,2,24.0,1
45,3,29.0,0
46,1,31.0,1
47,2,19.0,0
48,3,41.0,1
49,3,36.0,1
50,2,24.0,1
51,3,42.0,1
52,3,29.0,0
53,1,29.0,0
54,1,30.0,1
55,1,45.0,1
56,3,28.0,0
57,3,29.0,0
58,2,30.0,1
59,3,29.0,0
60,1,33.0,1
61,2,29.0,1
62,1,40.0,0
63,1,29.0,0
64,2,34.0,1
65,3,29.0,1
66,3,1.0,1
67,1,61.0,1
68,3,9.0,1
69,3,29.0,1
70,3,29.0,0
71,2,54.0,1
72,2,30.0,0
73,3,29.0,1
74,2,16.0,1
75,1,51.0,1
76,2,22.0,1
77,2,31.0,1
78,2,23.0,1
79,1,29.0,1
80,3,34.0,1
81,2,29.0,1
82,3,29.0,0
83,2,54.0,1
84,3,29.0,1
85,2,13.0,0
86,2,25.0,1
87,3,29.0,1
88,1,29.0,0
89,1,55.0,0
90,1,54.0,1
91,1,56.0,1
92,2,24.0,0
93,3,29.0,1
94,3,29.0,0
95,3,29.0,1
96,3,30.0,0
97,3,29.0,0
98,3,29.0,1
99,3,32.0,1
100,2,42.0,1
101,3,29.0,1
102,2,30.0,1
103,3,29.0,0
104,2,29.0,1
105,1,29.0,0
106,3,29.0,1
107,3,33.0,0
108,3,29.0,1
109,3,40.0,1
110,1,29.0,1
111,2,29.0,1
112,3,29.0,1
113,1,29.0,0
114,2,30.0,0
115,3,29.0,1
116,3,29.0,1
117,3,29.0,0
118,3,29.0,1
119,3,29.0,0
120,3,29.0,1
121,3,29.0,1
122,1,29.0,0
123,3,29.0,1
124,1,29.0,1
125,1,64.0,1
126,3,29.0,1
127,1,36.0,0
128,3,18.0,1
129,1,36.0,1
130,3,29.0,0
131,3,17.0,0
132,3,29.0,1
133,3,29.0,1
134,3,29.0,0
135,1,29.0,1
136,3,27.0,1
137,2,2.0,1
138,3,23.0,0
139,3,23.0,1
140,3,29.0,1
141,2,22.0,0
142,3,29.0,1
143,3,29.0,0
144,1,53.0,0
145,2,26.0,0
146,1,31.0,0
147,2,18.0,1
148,1,45.0,1
149,3,26.0,1
150,3,29.0,0
151,1,62.0,0
152,3,29.0,0
153,3,29.0,1
154,1,50.0,0
155,3,29.0,1
156,1,29.0,1
157,3,29.0,1
158,3,29.0,0
159,3,29.0,1
160,1,58.0,0
161,3,29.0,0
162,1,54.0,0
163,2,29.0,1
164,3,29.0,1
165,1,28.0,1
166,3,29.0,1
167,2,8.0,0
168,3,29.0,0
169,3,29.0,1
170,3,29.0,0
171,2,42.0,0
172,2,32.0,1
173,2,28.0,1
174,3,21.0,0
175,3,29.0,1
176,3,29.0,1
177,1,29.0,1
178,2,29.0,1
179,3,29.0,0
180,1,55.0,1
181,1,50.0,1
182,3,29.0,1
183,3,29.0,1
184,3,9.0,1
185,3,29.0,1
186,2,29.0,1
187,3,29.0,1
188,3,18.0,0
189,3,28.0,1
190,3,29.0,0
191,3,29.0,0
192,1,28.0,1
193,1,27.0,0
194,3,4.0,1
195,3,29.0,0
196,3,22.0,0
197,3,29.0,1
198,2,29.0,0
199,3,29.0,1
200,3,29.0,1
201,2,30.0,1
202,3,29.0,1
203,3,9.0,0
204,3,29.0,1
205,3,29.0,1
206,1,29.0,1
207,2,53.0,0
208,3,29.0,1
209,1,29.0,1
210,1,44.0,0
211,3,20.0,1
212,3,29.0,1
213,3,65.0,1
214,1,58.0,0
215,2,3.0,1
216,1,29.0,1
217,3,29.0,1
218,3,29.0,1
219,3,24.0,1
220,3,29.0,1
221,3,38.0,0
222,3,29.0,1
223,2,18.0,1
224,3,29.0,1
225,3,22.0,1
226,3,19.0,1
227,3,29.0,0
228,2,29.0,0
229,3,29.0,1
230,3,29.0,1
231,2,50.0,0
232,1,36.0,1
233,1,39.0,0
234,1,29.0,1
235,3,29.0,1
236,3,29.0,0
237,1,55.0,0
238,3,29.0,1
239,1,33.0,0
240,1,29.0,0
241,2,29.0,1
242,3,32.0,1
243,3,17.0,1
244,1,40.0,0
245,2,22.0,0
246,1,0.9167,1
247,2,29.0,1
248,2,34.0,1
249,2,29.0,1
250,2,26.0,1
251,3,29.0,0
252,3,29.0,1
253,3,29.0,0
254,3,22.0,1
255,3,35.0,1
256,2,25.0,1
257,3,29.0,1
258,3,25.0,1
259,1,41.0,1
260,1,29.0,1
261,3,29.0,1
262,3,29.0,1
263,3,29.0,1
264,1,22.0,0
265,3,29.0,1
266,3,29.0,1
267,3,29.0,1
268,3,29.0,1
269,3,29.0,1
270,1,25.0,0
271,1,29.0,0
272,3,29.0,1
273,2,21.0,1
274,1,29.0,1
275,3,29.0,1
276,3,29.0,0
277,3,29.0,1
278,3,20.0,0
279,3,29.0,0
280,3,29.0,1
281,3,29.0,0
282,1,29.0,0
283,3,29.0,0
284,3,19.0,1
285,2,29.0,1
286,3,20.0,0
287,1,16.0,0
288,1,29.0,0
289,3,29.0,0
290,3,29.0,0
291,2,29.0,1
292,1,29.0,1
293,1,29.0,1
294,2,26.0,1
295,3,29.0,1
296,3,29.0,1
297,1,29.0,1
298,3,29.0,1
299,2,1.0,0
300,3,29.0,1
301,3,29.0,1
302,2,12.0,0
303,1,41.0,1
304,3,29.0,1
305,3,29.0,1
306,3,29.0,1
307,2,21.0,0
308,3,29.0,0
309,2,28.0,1
310,1,35.0,0
311,1,13.0,1
312,3,29.0,1
313,3,29.0,0
314,3,29.0,0
315,1,44.0,0
316,3,29.0,1
317,3,24.0,0
318,1,44.0,1
319,1,47.0,0
320,2,27.0,0
321,3,29.0,1
322,1,57.0,1
323,2,21.0,1
324,3,29.0,1
325,1,42.0,1
326,3,29.0,0
327,3,35.0,1
328,3,29.0,1
329,3,15.0,0
330,3,29.0,1
331,2,45.0,1
332,2,29.0,1
333,3,29.0,1
334,2,19.0,1
335,3,29.0,1
336,3,21.0,1
337,3,29.0,0
338,1,50.0,0
339,1,64.0,1
340,3,22.0,0
341,3,29.0,1
342,3,29.0,1
343,3,29.0,1
344,1,55.0,1
345,3,22.0,0
346,1,60.0,1
347,3,29.0,0
348,3,29.0,1
349,3,29.0,0
350,3,29.0,0
351,2,48.0,0
352,3,29.0,1
353,2,29.0,1
354,1,26.0,0
355,1,27.0,0
356,2,28.0,0
357,1,52.0,0
358,2,32.0,0
359,2,18.0,1
360,3,40.0,1
361,1,29.0,1
362,2,50.0,0
363,2,3.0,1
364,1,47.0,0
365,2,36.0,1
366,3,29.0,1
367,3,29.0,1
368,3,29.0,1
369,2,29.0,0
370,2,29.0,1
371,3,18.0,1
372,1,57.0,1
373,3,25.0,1
374,2,29.0,0
375,3,3.0,0
376,3,29.0,1
377,3,6.0,1
378,3,29.0,1
379,2,8.0,1
380,2,29.0,1
381,1,6.0,1
382,3,29.0,1
383,2,29.0,1
384,2,27.0,1
385,3,29.0,1
386,3,29.0,1
387,3,29.0,0
388,3,29.0,0
389,2,29.0,0
390,3,29.0,0
391,2,14.0,1
392,3,29.0,0
393,3,30.0,0
394,2,52.0,1
395,3,29.0,1
396,1,21.0,1
397,1,30.0,1
398,1,19.0,0
399,3,29.0,1
400,1,18.0,0
401,1,19.0,1
402,1,21.0,1
403,3,29.0,1
404,3,29.0,1
405,2,19.0,1
406,2,32.0,1
407,3,16.0,1
408,1,36.0,1
409,2,29.0,1
410,3,26.0,1
411,3,29.0,1
412,3,30.0,1
413,2,30.0,1
414,2,35.0,1
415,3,29.0,1
416,1,36.0,1
417,3,29.0,0
418,3,29.0,1
419,3,18.0,1
420,3,29.0,1
421,2,34.0,0
422,3,29.0,1
423,3,29.0,0
424,3,29.0,1
425,3,33.0,1
426,1,39.0,1
427,3,29.0,1
428,1,27.0,1
429,3,29.0,0
430,1,16.0,0
431,1,24.0,0
432,3,29.0,0
433,1,29.0,0
434,3,29.0,0
435,2,29.0,0
436,1,28.0,1
437,1,59.0,0
438,2,28.0,0
439,2,25.0,0
440,1,52.0,1
441,3,24.0,0
442,3,29.0,1
443,2,30.0,1
444,1,39.0,1
445,1,29.0,1
446,3,29.0,1
447,1,47.0,1
448,1,29.0,1
449,3,29.0,1
450,2,21.0,1
451,1,56.0,1
452,3,26.0,1
453,3,14.0,1
454,1,46.0,1
455,3,29.0,0
456,1,49.0,1
457,2,32.0,1
458,3,26.0,1
459,3,29.0,1
460,1,60.0,0
461,1,14.0,0
462,2,36.0,0
463,3,18.0,1
464,2,26.0,1
465,2,64.0,1
466,3,29.0,0
467,3,29.0,1
468,3,29.0,0
469,2,27.0,0
470,3,29.0,1
471,1,29.0,1
472,3,29.0,1
473,3,29.0,1
474,3,18.0,0
475,3,29.0,1
476,3,29.0,1
477,3,29.0,0
478,3,0.3333,1
479,3,29.0,1
480,3,29.0,1
481,2,18.0,0
482,3,29.0,0
483,3,29.0,1
484,3,29.0,0
485,2,29.0,0
486,3,29.0,1
487,3,29.0,1
488,3,29.0,1
489,3,30.0,1
490,3,29.0,1
491,2,29.0,1
492,2,29.0,1
493,2,30.0,0
494,3,29.0,1
495,2,22.0,1
496,3,29.0,1
497,3,29.0,0
498,3,29.0,1
499,3,29.0,0
500,1,25.0,1
501,2,30.0,0
502,3,32.0,1
503,1,29.0,1
504,3,29.0,1
505,1,45.0,0
506,1,37.0,1
507,3,29.0,1
508,3,29.0,0
509,3,29.0,0
510,3,29.0,1
511,2,29.0,0
512,2,20.0,1
513,3,25.0,1
514,3,29.0,0
515,3,29.0,1
516,3,29.0,1
517,2,19.0,0
518,3,38.0,1
519,3,29.0,0
520,3,24.0,1
521,3,29.0,1
522,3,32.0,1
523,1,37.0,1
524,1,29.0,1
525,3,25.0,1
526,1,31.0,0
527,1,56.0,0
528,2,3.0,0
529,2,22.0,1
530,3,29.0,0
531,3,29.0,1
532,2,49.0,0
533,1,17.0,0
534,3,17.0,0
535,2,29.0,0
536,3,29.0,1
537,3,18.0,1
538,3,29.0,0
539,2,48.0,1
540,3,19.0,1
541,3,29.0,1
542,2,23.0,1
543,1,44.0,1
544,1,22.0,0
545,2,33.0,0
546,1,18.0,1
547,2,25.0,1
548,3,29.0,1
549,3,23.0,1
550,3,11.0,1
551,3,29.0,1
552,3,29.0,1
553,3,29.0,0
554,3,45.0,1
555,1,52.0,0
556,3,29.0,1
557,1,29.0,1
558,3,29.0,1
559,3,23.0,1
560,3,29.0,1
561,3,29.0,0
562,3,29.0,1
563,3,29.0,1
564,1,18.0,0
565,2,29.0,1
566,1,36.0,0
567,3,29.0,1
568,3,29.0,0
569,1,29.0,0
570,1,71.0,1
571,1,48.0,0
572,3,29.0,0
573,3,29.0,1
574,3,29.0,1
575,3,29.0,1
576,3,29.0,0
577,3,29.0,1
578,1,29.0,1
579,2,29.0,1
580,3,29.0,0
581,1,29.0,1
582,2,29.0,0
583,1,29.0,0
584,3,29.0,1
585,1,29.0,1
586,3,29.0,1
587,1,38.0,0
588,3,29.0,0
589,2,45.0,0
590,3,29.0,1
591,3,29.0,1
592,1,26.0,1
593,3,29.0,1
594,3,29.0,1
595,1,36.0,1
596,3,29.0,0
597,3,25.0,1
598,2,34.0,1
599,3,29.0,1
600,1,29.0,0
601,2,41.0,1
602,3,29.0,1
603,3,29.0,1
604,3,29.0,1
605,1,29.0,1
606,3,29.0,1
607,2,29.0,0
608,3,47.0,1
609,3,29.0,1
610,3,29.0,1
611,3,21.0,1
612,3,29.0,0
613,3,29.0,1
614,1,61.0,1
615,3,29.0,1
616,2,35.0,1
617,3,26.0,1
618,3,19.0,1
619,2,29.0,0
620,2,30.0,1
621,2,29.0,1
622,2,24.0,1
623,3,29.0,1
624,1,53.0,0
625,1,35.0,0
626,1,50.0,1
627,1,24.0,0
628,3,29.0,0
629,2,31.0,0
630,1,31.0,0
631,1,29.0,0
632,1,30.0,1
633,3,29.0,1
634,3,29.0,1
635,2,25.0,1
636,2,29.0,0
637,1,29.0,0
638,1,22.0,0
639,3,31.0,1
640,3,29.0,1
641,1,17.0,1
642,3,29.0,1
643,3,29.0,1
644,2,46.0,1
645,2,6.0,0
646,1,29.0,1
647,3,29.0,0
648,3,29.0,0
649,1,29.0,1
650,3,29.0,1
651,1,58.0,0
652,3,29.0,1
653,1,21.0,0
654,3,29.0,1
655,3,0.8333,1
656,1,39.0,0
657,3,29.0,0
658,3,29.0,1
659,2,22.0,0
660,3,29.0,0
661,3,24.0,1
662,3,32.0,1
663,3,29.0,1
664,3,29.0,1
665,1,29.0,0
666,2,29.0,1
667,1,38.0,1
668,3,24.0,1
669,3,29.0,1
670,2,19.0,0
671,3,29.0,1
672,2,1.0,1
673,1,15.0,0
674,3,29.0,0
675,2,45.0,0
676,3,29.0,0
677,3,37.0,1
678,3,22.0,1
679,1,64.0,1
680,1,71.0,1
681,3,29.0,0
682,3,29.0,1
683,1,24.0,1
684,2,35.0,0
685,2,23.0,1
686,3,29.0,1
687,2,29.0,0
688,3,29.0,1
689,2,29.0,0
690,3,29.0,1
691,1,20.0,0
692,1,28.0,1
693,3,29.0,1
694,2,26.0,0
695,3,29.0,1
696,1,30.0,0
697,2,34.0,1
698,1,40.0,1
699,3,9.0,1
700,3,29.0,1
701,1,69.0,0
702,2,29.0,1
703,3,29.0,1
704,1,45.0,1
705,3,29.0,0
706,3,29.0,1
707,2,38.0,1
708,2,29.0,1
709,3,29.0,1
710,2,30.0,0
711,2,28.0,1
712,3,29.0,1
713,2,29.0,1
714,1,29.0,0
715,3,29.0,1
716,3,11.0,0
717,3,45.0,0
718,2,29.0,1
719,3,29.0,1
720,3,29.0,0
721,1,39.0,0
722,3,29.0,1
723,3,33.0,0
724,3,29.0,1
725,1,29.0,0
726,3,29.0,1
727,3,29.0,0
728,3,16.0,1
729,3,35.0,1
730,3,29.0,1
731,2,12.0,0
732,3,29.0,1
733,2,28.0,0
734,2,29.0,1
735,1,47.0,1
736,1,45.0,0
737,1,29.0,0
738,3,29.0,1
739,2,18.0,0
740,3,29.0,1
741,3,29.0,1
742,3,29.0,1
743,3,26.0,1
744,3,18.0,0
745,3,29.0,1
746,3,29.0,1
747,2,30.0,1
748,3,29.0,1
749,3,29.0,1
750,3,22.0,1
751,3,23.0,1
752,2,0.8333,1
753,2,19.0,1
754,2,36.0,0
755,2,29.0,1
756,3,29.0,0
757,3,29.0,1
758,3,29.0,1
759,3,22.0,1
760,2,2.0,0
761,3,29.0,1
762,1,43.0,0
763,3,20.0,1
764,1,29.0,1
765,3,29.0,1
766,3,29.0,1
767,1,29.0,1
768,3,18.0,0
769,1,56.0,1
770,1,49.0,1
771,2,34.0,0
772,3,41.0,1
773,3,29.0,1
774,3,29.0,1
775,3,29.0,1
776,3,29.0,1
777,3,29.0,0
778,3,22.0,1
779,3,20.0,1
780,1,39.0,1
781,2,29.0,1
782,3,29.0,1
783,1,29.0,1
784,3,29.0,1
785,3,29.0,0
786,1,4.0,1
787,3,28.0,1
788,3,29.0,0
789,3,20.0,1
790,2,40.0,1
791,3,29.0,0
792,2,21.0,1
793,3,29.0,1
794,3,29.0,1
795,3,29.0,1
796,3,29.0,1
797,1,54.0,1
798,2,1.0,1
799,3,29.0,1
800,2,38.0,1
801,2,39.0,1
802,3,29.0,1
803,1,29.0,1
804,3,29.0,0
805,3,29.0,1
806,1,60.0,0
807,3,29.0,1
808,1,58.0,1
809,1,46.0,0
810,1,62.0,1
811,3,27.0,0
812,3,29.0,1
813,1,25.0,1
814,2,21.0,1
815,2,44.0,0
816,2,33.0,1
817,3,26.0,1
818,3,18.0,0
819,3,29.0,1
820,3,29.0,1
821,2,19.0,1
822,3,29.0,1
823,3,23.0,1
824,1,50.0,0
825,1,27.0,0
826,3,29.0,0
827,1,17.0,0
828,3,48.0,0
829,3,29.0,1
830,1,54.0,1
831,3,59.0,1
832,1,29.0,1
833,3,29.0,1
834,1,29.0,0
835,2,26.0,1
836,3,29.0,0
837,3,29.0,1
838,1,29.0,0
839,1,11.0,1
840,1,29.0,0
841,3,43.0,0
842,3,29.0,1
843,3,29.0,0
844,3,29.0,0
845,2,26.0,1
846,1,52.0,1
847,2,36.0,0
848,3,26.0,1
849,2,29.0,1
850,3,29.0,1
851,1,29.0,1
852,3,29.0,0
853,3,26.0,1
854,1,46.0,1
855,1,55.0,1
856,1,48.0,1
857,1,47.0,1
858,3,10.0,0
859,3,29.0,1
860,3,29.0,1
861,1,29.0,1
862,1,29.0,0
863,3,29.0,1
864,3,29.0,1
865,2,23.0,0
866,2,4.0,0
867,3,29.0,0
868,3,29.0,0
869,3,29.0,1
870,3,29.0,0
871,1,34.0,1
872,2,18.0,1
873,3,6.0,1
874,1,29.0,1
875,3,36.0,1
876,3,16.0,1
877,3,29.0,1
878,3,29.0,1
879,1,29.0,0
880,3,29.0,1
881,1,29.0,0
882,2,29.0,1
883,2,2.0,1
884,3,38.0,0
885,3,29.0,1
886,3,29.0,1
887,1,29.0,1
888,2,18.0,0
889,1,29.0,0
890,1,24.0,1
891,3,45.0,1
892,3,29.0,1
893,3,29.0,1
894,2,31.0,0
895,3,29.0,0
896,3,29.0,1
897,3,3.0,1
898,3,29.0,1
899,2,32.0,0
900,1,29.0,0
901,3,29.0,1
902,3,29.0,1
903,2,29.0,1
904,2,29.0,1
905,2,29.0,1
906,2,33.0,0
907,3,29.0,0
908,3,29.0,1
909,2,24.0,0
910,2,29.0,1
911,1,29.0,0
912,3,29.0,1
913,3,40.0,1
914,2,17.0,0
915,3,20.0,1
916,3,29.0,1
917,3,29.0,1
918,3,26.0,1
